869 75684
503 542 27749
369 47 64162
623 766 48286
368 422 47045
27 645 47168
574 350 79371
822 792 26368
762 131 76671
506 825 96154
596 560 78991
397 195 99148
584 508 55029
403 474 26881
284 420 90204
803 372 84034
564 450 21687
241 675 38143
525 67 89912
539 108 33280
308 815 21133
153 843 80173
131 45 59337
390 814 35590
556 642 77172
557 448 75312
293 321 73030
272 732 89899
623 669 80495
635 363 81202
163 834 87847
867 702 54835
840 457 40964
720 140 76211
491 97 60225
204 861 64807
250 437 62823
278 108 67864
596 101 74394
208 379 54787
586 771 18058
733 506 86902
793 868 3914
422 710 33798
653 289 82796
822 786 65357
304 791 52329
476 39 72662
793 114 1962
836 116 8776
595 743 94546
723 320 66069
201 589 52959
123 426 12475
425 283 6478
833 315 88494
748 153 37795
67 191 22424
798 304 72508
286 152 86637
731 649 94681
97 340 24804
438 317 26771
399 557 53704
585 554 10483
329 684 9137
692 611 71616
76 478 38543
677 38 55029
324 55 725
431 466 1644
365 478 75982
547 867 76483
801 227 98435
185 831 89834
848 8 97620
33 297 32004
481 780 23759
436 73 12947
603 64 75006
779 518 35776
495 197 87717
383 673 34319
124 834 12637
373 606 56461
252 140 43046
236 5 5970
371 796 38104
470 189 49280
470 616 99846
462 260 69470
44 288 44093
411 225 85174
141 340 41045
534 541 88444
234 527 92962
301 382 99507
814 686 25291
55 210 5491
809 463 93828
1 280 11244
696 778 89797
276 461 1047
328 670 3757
16 332 93350
145 811 29647
26 865 24626
43 310 5077
706 446 59149
550 769 90901
590 584 79427
31 70 98073
773 21 89808
421 355 33591
719 466 76495
763 648 29494
590 302 60444
517 285 59758
864 753 66288
199 227 1256
597 619 68200
826 407 96060
820 858 77337
743 757 10090
170 362 51957
569 150 27531
113 17 11346
236 527 22420
222 49 3755
311 554 25383
653 517 33235
18 248 23039
4 500 57951
180 59 15965
244 17 94845
656 423 86459
413 734 31346
753 109 66335
155 92 68945
692 497 96529
203 311 68749
17 57 65084
853 460 8785
220 116 32697
863 779 34041
186 432 8387
560 269 64638
623 79 37730
603 98 71354
696 285 74858
667 797 47638
766 272 82539
372 622 99588
422 262 61097
44 173 51516
709 454 72217
160 193 6128
200 372 78379
403 28 36074
539 339 55257
167 695 14756
500 782 83687
303 608 68087
724 611 11237
416 857 99869
173 623 75315
345 509 35729
283 511 1442
267 448 35683
11 853 46173
628 392 7818
444 567 68158
378 625 92776
837 455 26398
122 256 38103
631 636 86924
838 103 96257
697 395 68094
838 850 9435
776 151 24654
427 2 56384
276 661 46174
705 183 49432
502 737 31941
272 379 38128
435 430 89075
819 354 88128
136 566 20763
114 764 41351
24 316 59204
638 859 19452
834 355 39491
630 148 77404
341 734 71228
61 798 39855
23 780 80994
331 229 32112
749 260 74443
178 609 66945
257 591 31016
52 253 76303
35 721 5708
72 426 41025
804 714 43120
393 160 81694
37 500 43409
80 87 1265
200 340 35738
795 87 48076
716 305 27590
313 211 69766
773 585 1056
855 19 98818
214 646 82407
384 373 60044
212 53 52090
385 480 44960
120 806 1985
826 265 17101
825 134 77089
308 523 60093
357 694 6084
144 406 90583
866 446 3029
438 375 86817
179 160 91397
55 574 91655
862 475 23325
445 30 97389
249 262 36816
110 753 58468
280 480 84618
469 55 47681
27 494 77357
434 310 77578
363 282 78489
615 554 54867
786 785 43226
163 212 41232
127 445 60581
35 740 68905
629 333 14680
44 328 90426
37 362 88075
790 333 68772
116 391 66375
846 275 31826
774 615 59236
195 510 35642
29 75 36641
145 303 73787
464 751 63451
691 133 34930
38 357 21637
526 113 75830
2 249 10995
548 248 40443
577 467 31548
573 497 53878
39 737 93759
218 527 21090
148 443 78806
250 655 51082
200 253 38023
186 94 27495
74 843 56304
122 244 83595
510 569 76759
500 597 70198
72 312 35690
821 707 63317
852 699 97050
734 400 56039
723 597 94301
250 12 71987
409 111 81701
320 11 8233
644 40 21552
469 794 76574
437 798 75136
576 266 36743
224 669 7058
506 379 97572
681 819 77823
143 852 61180
657 626 79517
597 512 87380
638 223 12000
504 867 58328
347 371 37289
722 556 90626
365 9 21510
21 322 31081
489 602 22418
663 155 26573
543 305 13825
576 89 94412
558 298 12439
19 510 4428
124 654 65348
840 810 30548
348 421 58643
106 578 3680
433 395 39646
581 626 81337
676 181 93675
685 741 35949
483 290 18440
600 776 90229
376 198 23690
492 784 67878
580 624 93722
166 397 17584
27 451 90740
433 281 62109
141 367 33576
765 420 68128
693 189 90566
502 204 20396
776 621 31065
663 222 31469
863 442 36135
563 632 17257
210 743 91715
123 30 8144
607 468 70172
194 857 66845
112 856 80672
463 489 46269
174 240 87653
255 250 50806
444 768 67090
492 12 71528
135 52 7433
59 372 13753
26 460 79021
476 95 51035
846 813 5725
553 306 48725
276 808 22245
425 625 83296
702 851 84322
418 45 56750
326 322 62232
691 231 12737
628 528 36718
722 558 75412
178 361 67602
176 372 28001
818 32 97962
150 461 37513
118 690 49581
847 35 79447
655 129 6307
709 392 56349
714 390 40268
455 222 52572
388 342 11650
528 157 44949
567 346 86786
801 826 94658
70 269 62274
762 729 54835
541 197 60964
219 844 13208
367 751 4905
403 432 84090
767 523 92730
260 812 20244
235 319 32011
327 388 53163
248 728 8469
81 144 88632
332 555 29458
258 204 3942
565 351 77552
501 11 92870
630 658 72463
410 40 74626
842 139 86414
709 104 48149
580 624 60846
398 544 78403
804 600 91712
494 142 5712
770 764 4374
73 618 7068
372 261 80261
784 707 60801
3 658 81097
653 287 87630
23 631 36405
396 5 94112
319 308 83600
401 365 81148
420 342 47418
496 779 20345
569 18 74059
530 37 92494
412 752 72086
814 434 95411
290 425 63163
636 41 96089
25 550 3137
63 809 39700
540 54 59857
382 78 69199
113 79 22566
478 515 59358
401 38 53524
502 4 47958
477 524 84775
869 643 16417
637 676 81170
760 53 68295
450 725 98650
109 763 1781
32 178 92602
57 490 90998
183 673 22556
695 376 72054
862 148 6061
630 752 3671
633 464 43478
633 736 34792
594 36 43299
560 328 24575
350 599 10997
569 156 66074
657 719 88047
35 685 1696
202 663 17764
844 589 91750
651 843 11331
659 231 97285
351 218 72488
590 240 13688
193 202 35905
593 615 16057
462 421 26250
277 262 62903
586 475 95707
231 119 99
121 363 25596
408 568 62226
346 739 3005
525 748 86895
855 154 67783
746 234 85589
115 365 76451
649 714 73278
357 30 96856
340 262 5389
331 529 22770
686 747 86438
756 197 38992
821 329 45667
7 598 64874
38 241 90271
791 460 70330
484 25 72828
578 435 80959
276 686 59353
795 556 26364
256 210 68933
699 614 76401
231 62 26360
709 513 95777
769 241 96914
467 229 69646
43 598 51208
306 467 19092
154 217 18922
453 456 90976
567 107 70191
341 807 65435
627 12 30994
493 124 41530
504 34 90876
605 829 84811
241 772 27752
294 156 92988
836 658 41803
519 731 64042
335 597 33932
692 302 33162
366 788 40628
690 134 93347
702 101 22285
67 523 18271
194 601 2286
396 802 63075
2 365 13627
694 132 41677
563 755 89407
711 19 79666
76 155 71051
295 35 2823
808 754 35710
608 18 65188
373 616 60447
80 201 26229
605 363 40814
532 719 27458
311 561 79722
595 618 83133
498 252 38769
188 328 26032
331 48 82217
858 525 40215
454 238 46701
681 146 20159
561 744 95720
448 838 44373
720 68 21562
779 102 55634
220 681 54833
61 623 51113
765 144 72683
596 102 63864
79 536 42640
677 217 23060
679 378 17749
234 472 62092
345 166 20202
677 62 29392
294 121 11824
93 12 44335
507 468 51765
187 742 43097
681 161 1333
179 665 49404
768 180 54390
811 258 63063
843 801 9883
202 342 35505
853 330 49744
164 541 75684
114 212 24226
636 198 59973
109 241 1207
226 31 93889
685 359 78233
865 846 64947
671 789 7351
539 522 87841
94 687 95473
377 859 60128
747 407 95640
429 289 41168
304 34 72979
495 289 36229
646 824 68352
433 861 15505
430 531 93014
508 299 10685
433 343 67203
467 540 984
478 842 25390
370 708 86775
567 515 87151
801 389 77122
176 407 9398
646 59 25273
197 796 34773
206 22 26495
339 245 80228
280 710 1483
858 513 31546
397 229 42636
755 718 8885
479 107 44781
184 655 57123
67 256 70360
810 723 5392
175 21 18456
762 154 9202
579 450 65845
609 434 45827
701 453 81221
679 442 44519
478 423 22051
69 856 42296
182 460 74847
777 734 60611
561 340 51543
65 63 22319
56 345 84035
278 692 66127
20 86 98457
256 22 86561
20 99 96755
56 23 94453
436 720 87208
239 175 78375
412 536 88628
600 647 31655
179 329 14955
380 41 29575
623 461 46044
332 776 6933
22 211 27273
826 469 82733
868 122 54318
667 19 45022
105 730 96064
318 139 52342
647 529 4031
617 526 60264
138 438 25300
271 270 32864
111 370 83595
308 8 34077
96 352 80574
144 189 23298
538 271 67722
533 658 99600
4 567 23922
544 320 81677
469 240 35276
824 689 53049
396 462 95433
525 279 53818
55 645 19857
365 790 80387
708 173 51101
777 148 28204
609 167 27013
210 793 26507
355 76 74857
112 631 35749
61 623 3539
761 166 68068
19 660 22825
589 853 19919
406 736 94390
627 635 64163
289 20 75473
238 268 64525
696 824 20226
646 168 18757
660 548 50615
183 493 52389
206 23 24935
354 772 19032
354 794 73784
740 760 5710
581 438 77001
868 657 79062
281 25 32997
301 788 79151
505 91 79588
478 91 65399
325 256 30383
642 454 21709
177 598 13146
547 187 97337
632 368 98987
670 583 94738
562 646 17523
728 846 94807
829 865 60707
664 182 19958
565 498 18165
59 365 85078
118 436 36812
868 678 61257
389 594 57462
680 498 49996
468 226 11425
234 827 75237
438 625 18698
451 559 47871
459 545 13637
753 211 51964
868 204 59015
694 104 6319
455 244 36168
461 855 76742
87 355 97533
841 697 13051
746 104 76637
192 772 34053
457 153 55190
358 601 60172
366 399 75267
37 581 1011
602 5 33614
44 693 80362
223 91 68134
384 642 82312
548 380 73278
623 495 78503
716 597 46721
558 240 26271
129 545 49233
474 339 62541
93 134 814
491 792 81283
748 842 76128
99 118 70101
732 382 58622
287 75 96581
845 122 92498
82 545 25768
738 28 24741
271 621 51069
58 510 4393
43 217 27195
618 485 92497
146 349 37965
347 381 12401
665 65 14846
407 167 58577
448 651 34578
581 164 34319
351 589 56254
762 697 66680
718 781 15492
104 158 92743
74 232 94932
315 723 59645
434 501 73800
540 650 80142
666 687 57912
308 848 6606
805 131 87712
312 307 60314
687 248 9781
632 133 82070
641 790 79242
432 270 68166
610 416 16301
142 477 11933
146 99 55604
225 226 62029
793 394 93824
66 258 29334
57 357 79625
579 201 39445
304 693 39329
344 84 54702
649 455 95964
121 159 72620
95 413 79915
26 89 44594
386 205 7359
131 363 31119
183 685 30636
705 241 67472
230 611 98232
156 199 41642
679 726 3156
676 75 19074
405 609 90565
384 867 75698
767 621 40393
778 470 23927
493 61 13940
16 402 47923
659 546 31971
73 36 92988
320 584 67829
303 868 29478
594 652 76192
273 836 42113
325 141 98745
533 348 32574
98 389 55262
180 160 58918
622 215 11134
96 628 43689
167 237 68910
183 196 58977
36 702 23937
554 363 16487
679 440 89608
83 268 60784
420 347 30422
298 571 96718
593 693 24420
689 559 90012
374 223 28885
302 1 75209
382 271 24662
720 95 68421
393 44 12652
485 107 65268
180 642 3724
102 334 64105
713 606 85717
647 613 14647
768 717 29426
442 386 73074
789 614 68810
846 508 75578
216 434 68197
186 318 85427
618 640 77703
839 458 51576
620 81 68489
360 751 85315
562 829 37830
56 641 65569
491 581 6519
849 727 98196
499 218 14504
271 353 6754
364 421 15793
112 779 45212
656 521 29647
709 740 89493
718 487 56423
104 604 62120
813 741 34618
335 564 27394
698 145 97566
481 314 40180
43 731 87868
642 840 95670
525 229 93426
50 512 55342
843 782 4714
524 355 18497
32 125 88974
1 743 82744
479 111 83374
696 133 89516
861 544 33009
125 687 85644
392 770 7541
5 136 35306
659 647 37809
395 522 32360
129 396 67332
30 97 61576
122 746 5008
796 705 31785
680 10 42092
87 604 46576
777 757 75210
640 437 31656
222 291 91921
490 383 83642
253 498 26784
279 338 1399
667 133 18269
830 42 92748
115 298 80895
531 28 58581
497 827 25369
13 508 34431
252 730 84372
725 83 29573
382 228 81179
238 66 8260
171 576 76409
586 516 61605
19 635 44749
745 352 53113
415 646 86195
815 754 9505
490 646 72869
420 842 86161
346 318 78708
584 271 5436
637 395 6866
69 505 37074
324 211 9851
481 510 44604
238 695 27641
411 253 93627
148 235 78544
204 815 70788
361 93 28459
815 726 1891
778 238 55366
90 154 37056
11 819 27482
70 659 40720
539 209 41126
237 400 69286
757 775 39034
380 17 35167
591 779 6214
721 93 96463
665 68 19804
169 110 42437
518 609 33553
277 657 19396
744 692 91307
696 280 58333
509 59 34895
663 42 57639
744 864 79953
293 279 11827
634 276 7868
566 866 451
786 32 91330
817 858 18267
594 458 20511
24 30 5329
795 591 45687
815 14 96982
706 67 60076
718 636 64126
177 81 34602
541 355 84751
606 591 2194
337 551 96230
398 621 31651
106 336 65425
838 637 14412
561 699 86936
374 787 14828
562 230 21568
574 272 9735
783 233 72031
56 107 22126
66 469 86003
219 700 79269
625 108 62435
763 620 55831
36 524 96968
271 329 5839
407 469 42358
488 169 23718
481 277 67342
362 352 84273
304 586 16170
415 302 1593
725 255 58584
496 715 63664
280 662 23418
483 398 47105
756 403 98394
32 624 61170
478 390 77943
181 681 56497
442 792 34286
679 756 78699
631 256 43706
327 742 17923
221 213 50095
589 734 47130
635 425 44077
106 806 97612
319 386 7545
579 196 91314
526 784 66602
630 839 24831
156 678 25997
83 111 115
712 330 31147
442 256 17653
421 100 9626
346 247 63632
162 159 89404
611 791 12959
430 709 39555
221 51 2242
410 646 60511
186 826 38544
553 866 53549
666 868 37856
243 246 87601
807 61 90346
278 143 69679
260 562 28476
706 16 87356
640 377 28526
264 462 72575
666 629 75381
16 716 95560
72 356 40576
27 351 5132
384 268 42827
700 594 77952
537 229 84012
736 643 79183
272 723 61138
267 317 18967
482 546 67082
103 364 94765
559 504 34218
853 782 26165
511 187 64077
92 725 98445
844 25 83903
563 213 37436
66 65 87612
300 583 1727
426 37 47241
255 413 21155
417 414 50147
748 713 4269
153 31 89907
394 702 64374
261 164 3492
580 89 74945
455 800 49674
226 531 26363
670 71 61759
581 223 7764
727 158 16941
586 307 94944
761 344 94853
6 423 58631
367 697 82293
113 635 5634
364 382 80162
789 234 37406
387 142 69140
22 588 77800
14 409 43598
576 503 70571
756 166 29526
451 300 49810
15 292 68093
630 48 9610
861 758 81769
79 237 5707
66 583 86724
263 230 71792
837 287 74999
861 341 20165
238 260 26316
564 186 51460
491 292 88817
265 543 98152
748 214 67239
737 280 30021
470 217 99405
285 178 78927
649 168 95008
17 613 70290
564 527 95963
507 819 5786
649 849 49190
324 815 78465
869 428 62435
434 125 82976
431 335 49186
584 345 8563
531 620 78103
590 577 76247
318 15 11880
43 200 28383
165 736 4430
685 722 82422
280 737 72833
222 541 77294
404 17 24048
594 224 43007
388 519 52424
49 2 13553
210 290 6258
442 371 68767
452 650 67793
822 91 98555
654 608 43026
328 807 59688
732 639 86602
360 154 42121
821 354 53965
796 19 319
233 494 82872
454 45 39479
74 641 70856
824 444 2531
512 73 12496
688 300 82225
252 750 16525
356 567 71829
360 280 61233
183 519 36363
150 221 87074
447 144 96153
465 654 9050
203 730 81419
212 431 54980
392 791 2362
614 585 40265
602 788 50037
303 16 4234
255 486 80091
511 210 17612
752 624 48176
606 453 20608
813 467 41881
413 192 82695
570 228 41302
149 675 58010
250 699 46902
852 679 38812
791 45 53777
408 697 67534
282 600 14401
668 108 49233
844 23 91907
10 867 91559
869 273 97980
624 81 96009
718 502 16315
17 56 29580
741 278 94535
286 164 99456
254 295 75756
652 682 33906
404 237 95383
642 68 11034
66 557 97154
824 345 54654
48 211 84544
122 605 37660
380 598 41900
342 764 12844
391 744 69891
258 595 4747
358 379 54447
253 407 47044
499 799 12169
430 382 43387
723 551 94407
154 680 16439
254 39 38216
35 806 61566
514 406 56760
555 391 92378
491 477 14748
167 114 82957
544 800 64500
378 444 14555
579 741 39440
231 632 63924
189 73 44719
367 149 7477
628 502 26314
11 282 43404
617 268 81811
160 707 7381
680 503 21057
714 459 47564
153 120 21810
608 43 17463
743 530 99866
304 859 36565
164 101 86441
588 661 51159
601 67 60238
107 475 2853
163 816 21924
724 460 58260
779 3 80622
768 498 34442
742 684 13883
139 568 21422
101 332 65382
573 558 50056
46 615 19580
520 749 10439
452 215 72535
691 264 1026
809 234 44510
340 495 40268
610 263 67565
542 576 757
749 558 35033
419 18 80008
26 822 33691
298 848 49307
584 7 89171
203 79 12316
3 415 77528
390 154 39902
832 110 68095
328 434 67853
167 644 50727
133 39 31638
472 766 7863
327 21 8216
27 356 58630
597 99 84751
637 521 70905
560 551 51898
687 257 27337
223 162 90777
854 618 32257
755 164 74109
92 452 15465
257 125 54758
139 560 78410
214 575 88341
392 723 62450
301 785 53874
730 331 32307
613 676 85570
538 429 57632
410 406 60744
394 590 6380
323 563 44069
204 317 80257
798 377 68976
178 240 60102
373 421 54917
435 441 45883
442 314 14322
493 807 99134
710 94 58769
839 336 43554
240 14 48290
378 418 17050
156 459 90087
206 527 53127
615 466 65985
318 326 35717
832 676 62304
869 288 48543
602 663 60538
672 765 89822
217 818 15900
584 210 84459
482 554 26220
705 298 48698
760 860 54304
849 456 80107
557 116 75769
54 166 86887
494 252 93962
792 406 91243
454 21 88711
616 11 5920
350 542 31463
836 420 87802
396 92 43005
593 212 10272
307 394 52302
68 218 70113
770 209 86924
627 73 87724
834 827 13456
331 259 9474
339 192 35639
338 581 25029
534 323 26953
329 756 92325
437 276 3206
8 684 86428
613 167 39404
45 214 53860
613 532 11356
586 845 95089
522 150 57360
164 506 42084
350 420 48741
365 80 49615
587 381 44876
63 141 66477
691 660 53650
349 361 43101
25 855 70734
556 737 31330
58 326 25069
554 788 47984
84 167 31034
206 562 23466
46 397 60498
190 316 33398
111 205 74831
624 11 46555
610 289 95397
640 296 78217
193 860 42498
776 593 72367
695 666 73550
247 617 22531
680 604 21303
233 593 29607
663 254 12896
27 485 39869
126 839 43633
322 22 62163
263 151 25105
46 284 21552
677 25 50188
570 516 60788
667 142 19240
287 299 95902
208 386 82538
327 123 87234
386 365 12551
814 221 47081
167 626 33734
362 420 69798
93 732 62980
834 440 69759
165 859 67158
69 534 43027
9 839 49645
383 99 28120
766 606 82726
344 92 67090
294 200 34507
629 91 16300
816 726 40905
413 636 72802
251 633 97647
495 89 84380
552 563 64106
195 814 12385
813 284 18306
307 802 16151
619 156 8473
815 451 39746
383 109 65989
583 671 43825
693 56 60650
559 778 79346
281 600 73158
400 125 65467
822 175 88197
134 311 37538
655 415 66268
532 648 87985
173 376 80693
98 595 60372
18 805 20462
465 731 72733
473 570 74510
610 239 19185
604 660 52460
781 659 34548
524 254 31672
316 578 13249
629 595 48929
594 426 97954
566 555 96162
353 276 21342
266 719 19543
518 312 17442
395 377 11261
342 118 35972
176 77 52915
610 219 21311
427 217 19664
132 439 87933
497 540 27615
219 606 16053
726 154 73821
257 564 98062
5 764 50785
369 366 32786
722 56 91841
617 845 89044
204 424 53637
666 544 90294
245 696 37427
573 13 94260
755 601 73485
817 241 7877
635 826 10712
359 155 35837
224 815 73027
677 63 38625
828 124 76124
750 338 3588
46 43 34734
456 473 99821
643 569 35598
75 583 55495
320 564 81547
840 609 5093
362 435 89641
531 38 16763
222 416 9763
71 415 47724
318 662 84754
763 756 92707
77 534 54268
739 561 18983
835 499 12419
191 352 87128
621 450 21656
716 439 1860
199 789 12487
193 834 64451
716 288 33644
805 65 75067
258 776 79869
367 117 31035
545 839 84285
768 286 47440
118 827 23937
401 812 10794
541 757 1841
339 604 76238
437 523 69156
561 455 20926
222 128 92942
464 600 39478
740 475 78376
384 777 28149
571 146 90837
190 70 4437
537 334 18036
557 737 3064
107 33 49144
756 134 81607
412 373 17834
272 233 88811
601 189 2319
274 412 96007
586 698 22060
612 558 7490
26 280 87822
687 147 40083
97 377 11747
148 328 79053
813 481 92570
356 707 8398
685 430 69721
503 39 33086
99 185 69244
427 383 9161
266 859 82578
276 809 39391
593 795 47717
585 570 15335
434 794 65974
386 472 64113
311 816 1860
582 392 62862
720 744 62367
573 317 61622
449 764 46161
814 538 65682
388 632 65101
835 480 11081
625 130 32828
869 752 47280
173 310 48472
582 44 52703
605 171 16223
369 463 25970
867 848 52642
120 576 54697
169 867 4555
297 582 49078
699 100 1584
587 720 56998
377 865 67943
328 383 72597
78 69 34145
264 791 32348
584 816 29186
456 80 53305
868 823 60378
677 755 78567
229 660 37585
310 208 96918
640 595 78971
184 604 68679
731 244 83385
150 448 51132
257 609 60706
363 372 71737
326 445 84085
343 760 83165
391 797 12718
408 580 38820
644 789 20020
724 192 45934
752 852 87533
646 184 6019
442 270 26062
862 233 38756
34 776 27287
519 178 9051
671 249 2918
745 849 43255
436 217 60156
195 119 57527
46 313 95830
705 643 50681
137 57 43514
24 335 72496
591 147 88423
864 822 6309
427 762 86779
176 593 26716
344 44 57501
353 510 53690
407 600 50682
789 210 30984
742 628 64260
629 105 58763
705 802 66750
552 816 87053
505 862 16960
51 399 59239
38 593 19460
37 504 51466
52 460 10869
200 71 7601
700 245 64497
249 31 22842
679 48 25614
478 130 99095
558 164 91392
740 655 82190
557 816 91156
35 182 88416
776 80 68206
740 656 32451
341 262 28331
429 42 28761
800 76 31538
449 71 52144
802 680 70339
763 693 67076
28 785 97601
720 358 68181
386 683 35243
232 664 62215
33 464 19718
686 497 18161
22 393 82201
713 287 63978
717 108 52074
328 684 28973
117 164 26233
856 185 68673
740 176 10317
731 507 29570
578 619 6809
345 390 80211
569 78 7619
202 708 83204
275 536 79706
498 807 94902
356 361 12367
474 451 2891
591 606 27075
113 334 50672
754 129 66147
215 459 36350
238 207 80973
817 92 46684
12 144 78439
854 133 91563
842 834 45616
868 163 63494
517 385 92790
206 452 18878
474 171 40853
822 181 8166
109 278 81919
677 288 86291
76 114 88870
810 788 79266
335 663 58829
731 115 97870
295 140 15976
864 106 26582
281 636 19040
371 302 63268
721 592 19393
258 595 12533
221 231 33506
813 595 79960
242 847 49310
823 491 35438
392 440 18234
402 440 5362
582 473 83184
340 531 28076
666 263 55310
785 346 87407
446 209 65033
406 819 70081
211 623 47258
254 233 8846
597 788 71479
214 235 96304
735 286 94535
662 789 84224
108 768 37564
597 12 5675
656 259 14651
564 503 38789
450 268 52615
780 497 15476
687 20 31872
175 428 41315
245 327 85474
616 234 6851
670 408 133
45 158 33759
655 256 96280
745 846 20788
10 583 62770
41 595 11160
747 771 84502
308 665 54958
91 285 56258
231 387 42044
727 675 53671
220 19 13531
130 211 80408
576 559 98328
119 764 19653
663 158 95236
782 560 11430
437 271 72988
299 145 93908
805 467 12260
326 732 12126
315 636 16752
631 189 84281
503 407 57515
89 852 65939
278 22 31430
453 444 25042
837 261 22078
540 79 70107
124 222 46132
233 804 40602
366 734 58845
64 740 23364
710 329 23707
72 162 65759
91 125 12014
434 615 10477
179 203 33937
576 458 95728
212 781 49492
812 503 27615
553 787 18281
558 688 22077
435 764 61490
68 205 76112
167 106 92827
194 498 96757
266 832 4878
564 453 79366
668 138 33432
762 610 14133
640 402 20504
40 91 98939
37 668 81483
454 47 73688
788 123 62242
117 419 31616
686 677 10628
224 76 46638
414 170 10233
10 658 74155
684 512 61130
423 80 24242
853 639 50166
850 573 66129
486 737 92152
22 609 76317
679 403 64625
471 306 79268
44 146 3239
595 802 34215
846 415 72884
290 521 72062
181 826 2757
275 848 20435
149 537 95792
625 388 41233
592 625 89967
32 349 86342
49 475 54264
387 588 44874
87 260 62368
589 430 35372
218 241 99415
773 816 64352
869 767 21958
472 254 95368
97 713 84489
651 753 25351
145 776 47425
37 27 25149
605 511 73064
97 10 75689
41 547 85684
435 515 12296
707 244 23398
745 177 81814
778 267 1201
831 744 3141
684 369 503
203 708 62225
91 677 56231
77 752 47265
736 191 42371
432 758 21582
453 525 55886
295 811 19878
724 755 76738
604 772 54970
326 154 21320
624 319 21160
461 272 98219
605 316 83639
628 572 19052
680 419 43157
241 416 49855
662 37 18213
822 592 47152
688 546 3680
333 331 76097
279 777 11653
324 286 88708
265 167 3533
648 370 21030
139 582 71795
368 435 46302
400 356 96777
679 482 42947
761 308 26519
150 547 57235
411 424 53737
160 362 66163
420 265 66994
653 139 4820
208 795 34501
213 379 38974
804 605 67760
690 263 87659
701 566 97684
667 273 43324
40 503 10990
671 811 14023
554 5 3133
800 164 38161
75 252 4719
261 747 42008
642 163 92121
437 392 72076
468 507 89939
783 582 10307
81 550 16519
18 523 28719
97 592 77406
529 724 50957
42 608 14015
106 773 94355
294 251 10609
228 804 13846
257 653 46122
802 766 76398
694 781 20857
710 159 18167
434 638 39090
683 858 45769
837 342 70653
640 200 94467
688 855 7712
609 201 34383
555 288 75407
621 103 25982
587 257 54091
89 692 24752
668 142 30165
439 417 39973
623 676 66307
854 147 40539
864 480 31883
126 211 68572
560 278 58617
815 289 3660
327 11 49
866 807 4429
461 836 48283
797 268 88132
37 651 78809
127 221 38463
522 172 17683
284 49 40270
491 360 13742
600 678 71209
476 302 81462
343 229 92596
681 745 15423
518 213 20170
343 718 3689
255 29 48583
52 101 66025
503 132 52524
667 429 28187
279 510 19006
242 730 34146
401 129 19472
305 54 85772
306 246 61436
666 376 78223
264 319 45355
833 404 74898
530 47 60342
599 353 86248
256 802 71628
850 16 82478
767 541 9648
563 281 32548
233 306 25735
444 576 45958
702 641 96703
782 472 77193
719 757 5196
169 193 19631
631 708 92056
20 242 1116
567 361 5046
554 278 24902
15 84 21606
712 620 90638
93 426 13127
362 511 50388
774 737 33954
648 180 64432
460 812 28774
241 522 36995
72 521 11141
776 348 26062
375 157 17449
262 285 26996
365 313 90482
856 327 20242
174 770 20931
299 682 3026
328 232 92468
299 827 60704
157 643 98488
701 177 53773
6 775 62422
701 41 28990
511 153 38057
256 116 83612
112 628 50118
619 101 92123
41 715 96522
756 326 60634
500 715 11907
371 440 49875
844 759 96605
445 659 23831
443 313 38497
224 2 75938
372 817 10497
466 259 70917
329 48 31617
744 739 25080
134 692 12143
25 553 25609
560 502 70525
492 304 52001
269 762 38120
248 809 37616
157 481 54678
461 266 78161
801 582 4720
261 70 32914
81 204 81490
242 472 40140
584 171 21747
27 740 41853
43 646 16242
312 718 55226
344 46 2070
568 388 8753
635 690 90703
680 377 10431
308 556 58174
865 439 91859
138 698 63939
257 530 47867
781 677 47733
34 54 15814
362 656 24035
283 327 50228
546 701 51821
434 724 30520
594 756 47262
665 324 61278
384 283 72993
290 275 34678
598 40 98002
322 559 52935
850 378 60869
163 807 20081
116 273 7281
140 488 15416
614 494 48514
218 269 93777
542 829 79350
453 682 31122
840 487 29671
384 732 23129
201 465 18338
865 303 85264
268 833 9695
761 713 79082
542 123 60754
805 31 47314
16 592 66650
92 680 3759
381 755 329
19 279 28838
215 94 43225
385 219 37609
668 495 83872
6 790 20447
285 279 65423
827 756 85292
304 651 52716
824 340 72213
186 86 24347
430 361 59373
457 116 23545
63 691 10824
44 328 25409
758 191 8386
856 91 42542
131 309 52650
63 754 9753
638 59 90745
517 404 26294
173 474 6838
206 502 33650
641 235 12410
842 591 88937
665 629 51859
257 561 85512
649 612 48353
147 823 71920
638 302 99330
822 592 68355
323 717 5959
514 410 46266
94 18 2973
341 331 58546
85 42 76038
88 411 25726
36 113 17808
633 793 70408
116 403 76551
142 23 8946
732 264 76146
8 452 47433
45 478 5415
566 32 5256
475 2 46517
630 100 27854
363 526 40012
402 412 6310
63 277 88753
282 105 53006
864 195 28981
76 383 42395
401 385 94484
149 206 77852
413 808 53613
84 812 46611
150 81 68000
102 216 15140
110 631 54727
694 493 57111
400 393 72888
334 138 5516
790 158 29938
243 646 22062
547 686 30934
222 346 4360
112 639 50028
561 634 3348
604 563 31500
551 149 11603
211 352 31683
90 578 42634
839 736 63732
226 420 73888
340 629 79815
778 85 47317
668 167 21766
544 40 94712
539 659 81025
334 127 17766
694 565 11029
150 377 8312
819 85 91844
828 451 85927
230 829 75473
237 241 79668
78 735 71476
215 354 11523
77 568 17610
67 731 35910
